------Emission Probability------
afford VB 0.00126635711271
mary NNP 0.000883605108844
trustee NN 0.000148632580262
hold NN 0.000148632580262
succint JJ 8.62663906142e-05
modeling NN 7.43162901308e-05
deported VBN 0.000252143217347
midst NN 0.000111474435196
boulder NNP 0.000160655474335
diagnostic NNP 0.000160655474335
boat NNP 0.000321310948671
poet NN 3.71581450654e-05
mississippi NNP 0.000722949634509
resume NN 0.000297265160523
but RB 0.000184672206833
missions NNS 0.000237107291049
town NN 0.00159780023781
ph NN 3.71581450654e-05
talkie NN 3.71581450654e-05
04 CD 0.00025025025025
seeks VBZ 0.000218435998253
<e> <e> 1.0
dialague NN 3.71581450654e-05
removal NN 0.000111474435196
ag NNP 8.03277371676e-05
laird NNP 8.03277371676e-05
worries NNS 0.000474214582098
favourite JJ 8.62663906142e-05
embarrass VB 0.000105529759392
canon NNP 0.000240983211503
ripped VBD 0.000555247084953
comedians NNS 0.000237107291049
dragons NNS 0.000118553645525
francisco.pinto.leite@enron.com ADD 0.00342465753425
gloucestershire NNP 8.03277371676e-05
surveys NNS 0.000118553645525
hole NN 0.000185790725327
auction NN 3.71581450654e-05
felix NNP 8.03277371676e-05
handed VBN 0.000504286434695
surely RB 0.000184672206833
control VB 0.000527648796961
investigate VB 0.000211059518784
winger NN 3.71581450654e-05
losing VBG 0.0021021021021
belonged VBD 0.000555247084953
stir VB 0.000105529759392
sniffed VBD 0.000185082361651
pool NN 0.000371581450654
thamir NNP 8.03277371676e-05
focal JJ 8.62663906142e-05
winter NN 0.00048305588585
care NN 0.00174643281807
average JJ 0.000862663906142
non-smokers NNS 0.000118553645525
' '' 0.126114649682
yards NNS 0.000118553645525
kaminski NNP 0.000240983211503
sam NNP 0.000642621897341
saws NNS 0.000118553645525
final JJ 0.00250172532781
horrendous JJ 8.62663906142e-05
descriptions NNS 0.000355660936574
evacuees NNS 0.000118553645525
persistently RB 9.23361034164e-05
using VBG 0.0153153153153
98011 CD 0.00025025025025
ulterior JJ 0.000172532781228
some DT 0.0208097984422
download VB 0.000211059518784
rusk NNP 8.03277371676e-05
charity NN 0.000111474435196
gi NN 3.71581450654e-05
montgomery@enron ADD 0.00342465753425
handed VBD 0.000370164723302
oppose VB 0.000527648796961
dime NN 7.43162901308e-05
lesser JJR 0.00198807157058
let RB 9.23361034164e-05
crazier JJR 0.00198807157058
unweaponized JJ 8.62663906142e-05
dujail NNP 8.03277371676e-05
money NN 0.00345570749108
employees NNS 0.00260818020154
reward VB 0.000211059518784
booked VBD 0.000555247084953
watch VB 0.00147741663149
direction NN 0.000222948870392
adjust VB 0.000844238075137
updating VBG 0.0003003003003
booked VBN 0.00252143217347
dawn NNP 8.03277371676e-05
drool VBP 0.000372162262747
quiz NN 0.000111474435196
unknowledgeable JJ 8.62663906142e-05
bird NN 0.000743162901308
pgt NN 3.71581450654e-05
carefully RB 0.000646352723915
deliveries NNS 0.000237107291049
corp. NNP 0.000321310948671
shrink VB 0.000105529759392
heating NN 0.000148632580262
sarah NNP 0.000240983211503
parish NNP 0.000160655474335
marvelous JJ 0.000345065562457
going VBG 0.0585585585586
unprecedented JJ 0.000172532781228
government NN 0.00230380499405
agrees VBZ 0.00087374399301
contradict VB 0.000211059518784
festivities NNS 0.000118553645525
sez VBZ 0.000218435998253
milks NNS 0.000118553645525
namsan NNP 0.000160655474335
2102 CD 0.00025025025025
conservative NNP 8.03277371676e-05
capricorn NNP 0.000160655474335
mi NNP 8.03277371676e-05
commitments NNS 0.000711321873148
cannibals NNS 0.000118553645525
obligated JJ 8.62663906142e-05
morning NNP 8.03277371676e-05
renaissance NNP 0.000803277371676
planning VBG 0.00570570570571
use VBP 0.0055824339412
reservation NN 0.000222948870392
unresponsive JJ 8.62663906142e-05
tsunami NN 7.43162901308e-05
notes VBZ 0.000218435998253
incitement NN 0.000334423305589
bearded VBN 0.000756429652042
sick NN 3.71581450654e-05
dated JJ 8.62663906142e-05
memory NN 0.000260107015458
cabins NNS 0.000237107291049
sibley NNP 0.000160655474335
stays VBZ 0.000218435998253
heel NN 0.000148632580262
buchanan NNP 0.000240983211503
pinkie NN 3.71581450654e-05
manual JJ 0.000431331953071
!!!!!!!!!!! . 9.69274013764e-05
residential JJ 8.62663906142e-05
operator NNP 8.03277371676e-05
nhut NNP 8.03277371676e-05
silk NN 7.43162901308e-05
recuperation NNP 8.03277371676e-05
hungry JJ 0.0006038647343
feith NNP 8.03277371676e-05
functionally RB 9.23361034164e-05
53 CD 0.001001001001
influence NN 0.000260107015458
reiteration NN 3.71581450654e-05
metro JJ 0.000172532781228
137 CD 0.00025025025025
1.25 CD 0.00025025025025
execution NN 0.000297265160523
focus VB 0.000527648796961
earmuffs NNS 0.000118553645525
rec. JJ 8.62663906142e-05
10/31/00 CD 0.00025025025025
smile NN 3.71581450654e-05
blaming VBG 0.000600600600601
degeneration NNP 8.03277371676e-05
hoog NNP 8.03277371676e-05
?! . 0.000484637006882
challenges NNS 0.000948429164197
outperformed VBN 0.000252143217347
partition VB 0.000105529759392
burgers NNS 0.000237107291049
high NN 7.43162901308e-05
practice NNP 8.03277371676e-05
done VBN 0.0199193141704
fallibility NN 7.43162901308e-05
crawls VBZ 0.000218435998253
library NNP 8.03277371676e-05
hardware NN 3.71581450654e-05
similar JJ 0.0012077294686
united NNP 0.00690818539642
told VBN 0.00857286938981
flopped VBN 0.000252143217347
underground JJ 0.000258799171843
03:15 CD 0.00025025025025
noone NN 7.43162901308e-05
largely RB 0.000738688827331
burger NNP 8.03277371676e-05
brothers NNPS 0.00200803212851
winters NNS 0.000118553645525
risk VBP 0.000186081131373
delete VB 0.000949767834529
creatures NNS 0.000237107291049
3-5297 CD 0.00025025025025
escape NN 7.43162901308e-05
wallet NN 7.43162901308e-05
seoul NNP 0.000240983211503
plans NNS 0.00225251926497
curve NN 7.43162901308e-05
advising VBG 0.0003003003003
guard NN 0.000111474435196
mill CD 0.00025025025025
bureaucratically RB 9.23361034164e-05
rahman NNP 0.000562294160174
doers NNS 0.000118553645525
collar NN 3.71581450654e-05
develope VB 0.000105529759392
202.582.1234 CD 0.00025025025025
mind UH 0.00145137880987
kyle.jones@ra ADD 0.00342465753425
layer VB 0.000105529759392
haven NNP 0.000160655474335
fifty CD 0.001001001001
forms NNS 0.00106698280972
proclaimed VBD 0.000185082361651
environment NN 0.000557372175981
rice NNP 0.000401638685838
aggregation NN 3.71581450654e-05
proclaimed VBN 0.000252143217347
orders NNS 0.00225251926497
sms NN 3.71581450654e-05
inexpensive JJ 0.000258799171843
imposing VBG 0.000600600600601
vote NN 0.000185790725327
groan UH 0.00145137880987
surgery NN 0.000631688466112
meowing VBG 0.000900900900901
papers NNS 0.000829875518672
lousy JJ 8.62663906142e-05
stunning VBG 0.0003003003003
aaa NNP 8.03277371676e-05
tall JJ 0.000172532781228
so IN 0.00332979442139
oblivious JJ 8.62663906142e-05
two CD 0.0442942942943
rolling VBG 0.000600600600601
kurdish JJ 0.000172532781228
walker NNP 0.000562294160174
inversion NN 0.000111474435196
1973 CD 0.001001001001
accept VB 0.0013718868721
offended JJ 0.000172532781228
11:30 CD 0.00125125125125
goods NNS 0.000592768227623
scare NN 3.71581450654e-05
north NN 0.000185790725327
bilbray NNP 8.03277371676e-05
roomful NN 3.71581450654e-05
employee NN 7.43162901308e-05
producing VBG 0.0003003003003
cutting NN 3.71581450654e-05
hydor NNP 8.03277371676e-05
shrug NN 3.71581450654e-05
gnocchi NN 3.71581450654e-05
link VB 0.000105529759392
processed VBN 0.000252143217347
bodhi NNP 8.03277371676e-05
accused VBN 0.00126071608674
merit NN 0.000148632580262
murillo NNP 0.000240983211503
unheeded JJ 8.62663906142e-05
pashtun JJ 0.000172532781228
respected JJ 8.62663906142e-05
ascertain VB 0.000105529759392
scratching VBG 0.0003003003003
schooling NN 7.43162901308e-05
morbidity NN 3.71581450654e-05
isolating VBG 0.0003003003003
quebec NNP 8.03277371676e-05
hull NNP 0.000160655474335
little JJ 0.00862663906142
adult NN 0.000148632580262
kyoto NNP 8.03277371676e-05
bucks NNS 0.000474214582098
5000 CD 0.00175175175175
canadian JJ 0.00103519668737
cay NNP 0.000160655474335
hassle NN 0.000111474435196
symbol NN 3.71581450654e-05
stupid JJ 0.000690131124914
crra NNP 0.000321310948671
serious RB 9.23361034164e-05
pennsylvania NNP 0.000321310948671
charger VB 0.000105529759392
choices NNS 0.000474214582098
nationwide RB 9.23361034164e-05
moi NNP 8.03277371676e-05
between IN 0.00429495222469
shown VBN 0.00151285930408
ar VBP 0.000372162262747
original JJ 0.00112146307798
bake VBP 0.000186081131373
uniform NN 0.000111474435196
backpedalling VBG 0.0003003003003
photograph NN 7.43162901308e-05
fixable JJ 8.62663906142e-05
shorty NNP 8.03277371676e-05
-ect-kedne GW 0.0136054421769
frequent VBP 0.00055824339412
appeared VBD 0.00111049416991
labor NNP 8.03277371676e-05
zimbalist NNP 8.03277371676e-05
industries NNS 0.000118553645525
___________________________________________ NFP 0.00295857988166
stamps NNS 0.000118553645525
appeared VBN 0.000252143217347
welfare NN 0.000148632580262
buttered VBN 0.000252143217347
direct VB 0.000105529759392
!?! . 9.69274013764e-05
jill NNP 8.03277371676e-05
philippines NNPS 0.0100401606426
funneled VBN 0.000252143217347
f NN 0.000148632580262
associated JJ 8.62663906142e-05
+ NFP 0.00591715976331
give VBN 0.000252143217347
ecs NNP 0.000642621897341
cheryl NNP 0.000240983211503
invoking VBG 0.0003003003003
give VBP 0.00204689244511
legitimate JJ 8.62663906142e-05
tollis NNP 0.000321310948671
management NN 0.00104042806183
hooray UH 0.00145137880987
ramtanu NNP 0.000160655474335
single JJ 0.00172532781228
similarities NNS 0.000118553645525
straightforward JJ 8.62663906142e-05
disturbing JJ 8.62663906142e-05
once IN 0.00135122092462
honorable JJ 0.000345065562457
separate JJ 0.0012077294686
yuor PRP$ 0.000325945241199
mecole NNP 8.03277371676e-05
tower NNP 8.03277371676e-05
accepted VBD 0.00111049416991
mann NNP 0.000803277371676
killifish NNS 0.000118553645525
optionality NN 0.000111474435196
negotiator NN 3.71581450654e-05
thankful JJ 0.000172532781228
http://www.nsrl.ttu.edu/chernobyl/wildlifepreserve.htm ADD 0.00342465753425
buzzing NN 3.71581450654e-05
warned VBD 0.000740329446604
jwvs NNP 8.03277371676e-05
ram NNP 8.03277371676e-05
m306 NNP 8.03277371676e-05
cox NNP 0.000160655474335
qualified JJ 0.000517598343685
marino NNP 8.03277371676e-05
shoulder VB 0.000105529759392
flips VBZ 0.000218435998253
completed VBD 0.000370164723302
